track_id,track_info,artists,name,playcount,explicit,popularity
60ZGteAEtPCnGE6zevgUcd,"{'uri': 'spotify:track:60ZGteAEtPCnGE6zevgUcd', 'playcount': 217221558, 'name': 'Mountain Sound', 'popularity': 0, 'number': 3, 'duration': 211453, 'explicit': False, 'playable': True, 'artists': [{'name': 'Of Monsters and Men', 'uri': 'spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz', 'image': {'uri': ''}}]}",['Of Monsters and Men'],Mountain Sound,217221558,False,0
1uun7ZiMicReXfjvrrqbkG,"{'uri': 'spotify:track:1uun7ZiMicReXfjvrrqbkG', 'playcount': 3814317, 'name': 'Waiting for My Time to Come', 'popularity': 0, 'number': 7, 'duration': 263573, 'explicit': False, 'playable': True, 'artists': [{'name': 'Colony House', 'uri': 'spotify:artist:6R664N4cEza3eORSqKSgO4', 'image': {'uri': ''}}]}",['Colony House'],Waiting for My Time to Come,3814317,False,0
6uHvbKL0Yi37AuvNRmUfMw,"{'uri': 'spotify:track:6uHvbKL0Yi37AuvNRmUfMw', 'playcount': 146290504, 'name': 'Paint', 'popularity': 0, 'number': 4, 'duration': 191773, 'explicit': False, 'playable': True, 'artists': [{'name': 'The Paper Kites', 'uri': 'spotify:artist:79hrYiudVcFyyxyJW0ipTy', 'image': {'uri': ''}}]}",['The Paper Kites'],Paint,146290504,False,0
6dg4jncA9hbthBGFVo2djw,"{'uri': 'spotify:track:6dg4jncA9hbthBGFVo2djw', 'playcount': 49772311, 'name': 'White Lies - EP Version', 'popularity': 0, 'number': 1, 'duration': 177834, 'explicit': False, 'playable': True, 'artists': [{'name': 'Max Frost', 'uri': 'spotify:artist:7r8xR0LmnaAM623MmRDn1V', 'image': {'uri': ''}}]}",['Max Frost'],White Lies - EP Version,49772311,False,0
4VSW8R0n9oXx5gVjachhjc,"{'uri': 'spotify:track:4VSW8R0n9oXx5gVjachhjc', 'playcount': 1078303, 'name': 'Agape - Bose City Sets', 'popularity': 0, 'number': 1, 'duration': 253514, 'explicit': False, 'playable': True, 'artists': [{'name': ""Bear's Den"", 'uri': 'spotify:artist:0nJaMZM8paoA5HEUTUXPqi', 'image': {'uri': ''}}]}","[""Bear's Den""]",Agape - Bose City Sets,1078303,False,0
3vUn7FE3ZaQgJmkhIrIirF,"{'uri': 'spotify:track:3vUn7FE3ZaQgJmkhIrIirF', 'playcount': 483007645, 'name': 'The Cave', 'popularity': 0, 'number': 2, 'duration': 217984, 'explicit': False, 'playable': True, 'artists': [{'name': 'Mumford & Sons', 'uri': 'spotify:artist:3gd8FJtBJtkRxdfbTu19U2', 'image': {'uri': ''}}]}",['Mumford & Sons'],The Cave,483007645,False,0
7Mudp59cUXa6vlf6d4zAPJ,"{'uri': 'spotify:track:7Mudp59cUXa6vlf6d4zAPJ', 'playcount': 5860586, 'name': 'Blue June', 'popularity': 0, 'number': 2, 'duration': 171758, 'explicit': False, 'playable': True, 'artists': [{'name': 'Wild Rivers', 'uri': 'spotify:artist:59sBwR0jPSTrbMtuTkRPN5', 'image': {'uri': ''}}]}",['Wild Rivers'],Blue June,5860586,False,0
4dpD3TDufxz2rQ9JLkYPgV,"{'uri': 'spotify:track:4dpD3TDufxz2rQ9JLkYPgV', 'playcount': 8275275, 'name': 'Carry On', 'popularity': 0, 'number': 1, 'duration': 209585, 'explicit': False, 'playable': True, 'artists': [{'name': 'Young Rising Sons', 'uri': 'spotify:artist:6ZUjdwG0NvY6MT7vvmluhV', 'image': {'uri': ''}}]}",['Young Rising Sons'],Carry On,8275275,False,0
4yRlTvPVfEyhXfp6GZurq9,"{'uri': 'spotify:track:4yRlTvPVfEyhXfp6GZurq9', 'playcount': 25733279, 'name': 'Never Come Back Again', 'popularity': 0, 'number': 1, 'duration': 196240, 'explicit': False, 'playable': True, 'artists': [{'name': 'Austin Plaine', 'uri': 'spotify:artist:6AMV5iw09ZrX1h3o4x7uVN', 'image': {'uri': ''}}]}",['Austin Plaine'],Never Come Back Again,25733279,False,0
2oUOH2tCU4kKpooynVfS36,"{'uri': 'spotify:track:2oUOH2tCU4kKpooynVfS36', 'playcount': 4089906, 'name': 'Keeps Me Coming Back', 'popularity': 0, 'number': 7, 'duration': 169142, 'explicit': False, 'playable': True, 'artists': [{'name': 'WILD', 'uri': 'spotify:artist:0jcaMhfyinUx3Pj8w4nmWZ', 'image': {'uri': ''}}]}",['WILD'],Keeps Me Coming Back,4089906,False,0
7e8utCy2JlSB8dRHKi49xM,"{'uri': 'spotify:track:7e8utCy2JlSB8dRHKi49xM', 'playcount': 751173943, 'name': 'Fluorescent Adolescent', 'popularity': 0, 'number': 5, 'duration': 173493, 'explicit': False, 'playable': True, 'artists': [{'name': 'Arctic Monkeys', 'uri': 'spotify:artist:7Ln80lUS6He07XvHI8qqHH', 'image': {'uri': ''}}]}",['Arctic Monkeys'],Fluorescent Adolescent,751173943,False,0
7fvgzmfXxrdTcrL3xh2cBD,"{'uri': 'spotify:track:7fvgzmfXxrdTcrL3xh2cBD', 'playcount': 89067783, 'name': 'Polaroid', 'popularity': 0, 'number': 6, 'duration': 230013, 'explicit': False, 'playable': True, 'artists': [{'name': 'Imagine Dragons', 'uri': 'spotify:artist:53XhwfbYqKCa1cC15pYq2q', 'image': {'uri': ''}}]}",['Imagine Dragons'],Polaroid,89067783,False,0
0QZ5yyl6B6utIWkxeBDxQN,"{'uri': 'spotify:track:0QZ5yyl6B6utIWkxeBDxQN', 'playcount': 1597951484, 'name': 'The Night We Met', 'popularity': 0, 'number': 14, 'duration': 208211, 'explicit': False, 'playable': True, 'artists': [{'name': 'Lord Huron', 'uri': 'spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25', 'image': {'uri': ''}}]}",['Lord Huron'],The Night We Met,1597951484,False,0
3dVM8JotXWlRZ3TmMweoss,"{'uri': 'spotify:track:3dVM8JotXWlRZ3TmMweoss', 'playcount': 251427, 'name': 'Capsize', 'popularity': 0, 'number': 5, 'duration': 219373, 'explicit': False, 'playable': True, 'artists': [{'name': 'Windser', 'uri': 'spotify:artist:0G9ibJ5qs4Zl6iupdrVAG1', 'image': {'uri': ''}}]}",['Windser'],Capsize,251427,False,0
403vzOZN0tETDpvFipkNIL,"{'uri': 'spotify:track:403vzOZN0tETDpvFipkNIL', 'playcount': 42949285, 'name': 'Sisyphus', 'popularity': 0, 'number': 1, 'duration': 247493, 'explicit': False, 'playable': True, 'artists': [{'name': 'Andrew Bird', 'uri': 'spotify:artist:4uSftVc3FPWe6RJuMZNEe9', 'image': {'uri': ''}}]}",['Andrew Bird'],Sisyphus,42949285,False,0
29jtZGdgpE2lWm2mkIt6HS,"{'uri': 'spotify:track:29jtZGdgpE2lWm2mkIt6HS', 'playcount': 458900208, 'name': 'Mess Is Mine', 'popularity': 0, 'number': 2, 'duration': 223640, 'explicit': False, 'playable': True, 'artists': [{'name': 'Vance Joy', 'uri': 'spotify:artist:10exVja0key0uqUkk6LJRT', 'image': {'uri': ''}}]}",['Vance Joy'],Mess Is Mine,458900208,False,0
2nilAlGEZmwyaLTMMyDdLo,"{'uri': 'spotify:track:2nilAlGEZmwyaLTMMyDdLo', 'playcount': 106581391, 'name': 'For Emma', 'popularity': 0, 'number': 8, 'duration': 220720, 'explicit': False, 'playable': True, 'artists': [{'name': 'Bon Iver', 'uri': 'spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ', 'image': {'uri': ''}}]}",['Bon Iver'],For Emma,106581391,False,0
0CSTvWUps1YmpQoXXay9ol,"{'uri': 'spotify:track:0CSTvWUps1YmpQoXXay9ol', 'playcount': 170624074, 'name': 'Cosmic Love', 'popularity': 0, 'number': 9, 'duration': 255133, 'explicit': False, 'playable': True, 'artists': [{'name': 'Florence + The Machine', 'uri': 'spotify:artist:1moxjboGR7GNWYIMWsRjgG', 'image': {'uri': ''}}]}",['Florence + The Machine'],Cosmic Love,170624074,False,0
5vollujufHY0jMZxx77VWr,"{'uri': 'spotify:track:5vollujufHY0jMZxx77VWr', 'playcount': 316127162, 'name': ""All These Things That I've Done"", 'popularity': 0, 'number': 5, 'duration': 301866, 'explicit': False, 'playable': True, 'artists': [{'name': 'The Killers', 'uri': 'spotify:artist:0C0XlULifJtAgn6ZNCW2eu', 'image': {'uri': ''}}]}",['The Killers'],All These Things That I've Done,316127162,False,0
51DZ0wUocQ8sQfjnibXVcD,"{'uri': 'spotify:track:51DZ0wUocQ8sQfjnibXVcD', 'playcount': 117700513, 'name': 'Unbelievers', 'popularity': 0, 'number': 2, 'duration': 202666, 'explicit': False, 'playable': True, 'artists': [{'name': 'Vampire Weekend', 'uri': 'spotify:artist:5BvJzeQpmsdsFp4HGUYUEx', 'image': {'uri': ''}}]}",['Vampire Weekend'],Unbelievers,117700513,False,0
